city,lat,lon,year,month,avg_rainfall
Gangtok,27.33,88.61,2015,3,1.061
Gangtok,27.33,88.61,2015,4,1.864
Gangtok,27.33,88.61,2015,5,2.797
Gangtok,27.33,88.61,2015,6,5.97
Gangtok,27.33,88.61,2015,7,5.286
Gangtok,27.33,88.61,2015,8,8.47
Gangtok,27.33,88.61,2015,9,4.567
Gangtok,27.33,88.61,2015,10,0.505
Gangtok,27.33,88.61,2015,11,0.039
Gangtok,27.33,88.61,2015,12,0.028
Gangtok,27.33,88.61,2016,1,0.273
Gangtok,27.33,88.61,2016,2,0.197
Gangtok,27.33,88.61,2016,3,2.248
Gangtok,27.33,88.61,2016,4,3.511
Gangtok,27.33,88.61,2016,5,6.315
Gangtok,27.33,88.61,2016,6,9.441
Gangtok,27.33,88.61,2016,7,13.366
Gangtok,27.33,88.61,2016,8,6.026
Gangtok,27.33,88.61,2016,9,8.774
Gangtok,27.33,88.61,2016,10,2.604
Gangtok,27.33,88.61,2016,11,0.0
Gangtok,27.33,88.61,2016,12,0.002
Guwahati,26.14,91.73,2007,1,0.013
Guwahati,26.14,91.73,2007,2,2.857
Guwahati,26.14,91.73,2007,3,0.768
Guwahati,26.14,91.73,2007,4,9.599
Guwahati,26.14,91.73,2007,5,4.838
Guwahati,26.14,91.73,2007,6,11.669
Guwahati,26.14,91.73,2007,7,11.888
Guwahati,26.14,91.73,2007,8,6.483
Guwahati,26.14,91.73,2007,9,10.035
Guwahati,26.14,91.73,2007,10,3.7
Guwahati,26.14,91.73,2007,11,1.702
Guwahati,26.14,91.73,2007,12,0.135
Guwahati,26.14,91.73,2008,1,1.125
Guwahati,26.14,91.73,2008,2,0.166
Guwahati,26.14,91.73,2008,3,4.684
Guwahati,26.14,91.73,2008,4,4.957
Guwahati,26.14,91.73,2008,5,4.77
Guwahati,26.14,91.73,2008,6,11.366
Guwahati,26.14,91.73,2008,7,9.436
Guwahati,26.14,91.73,2008,8,9.699
Guwahati,26.14,91.73,2008,9,3.929
Guwahati,26.14,91.73,2008,10,3.599
Guwahati,26.14,91.73,2008,11,0.269
Guwahati,26.14,91.73,2008,12,0.16
Guwahati,26.14,91.73,2009,1,0.001
Guwahati,26.14,91.73,2009,2,0.145
Guwahati,26.14,91.73,2009,3,1.508
Guwahati,26.14,91.73,2009,4,3.606
Guwahati,26.14,91.73,2009,5,6.66
Guwahati,26.14,91.73,2009,6,5.984
Guwahati,26.14,91.73,2009,7,13.312
Guwahati,26.14,91.73,2009,8,11.344
Guwahati,26.14,91.73,2009,9,6.338
Guwahati,26.14,91.73,2009,10,5.655
Guwahati,26.14,91.73,2009,11,0.188
Guwahati,26.14,91.73,2009,12,0.64
Guwahati,26.14,91.73,2010,1,0.003
Guwahati,26.14,91.73,2010,2,0.01
Guwahati,26.14,91.73,2010,3,2.027
Guwahati,26.14,91.73,2010,4,12.283
Guwahati,26.14,91.73,2010,5,10.687
Guwahati,26.14,91.73,2010,6,16.823
Guwahati,26.14,91.73,2010,7,10.155
Guwahati,26.14,91.73,2010,8,8.07
Guwahati,26.14,91.73,2010,9,9.703
Guwahati,26.14,91.73,2010,10,4.053
Guwahati,26.14,91.73,2010,11,0.152
Guwahati,26.14,91.73,2010,12,0.279
Guwahati,26.14,91.73,2011,1,0.098
Guwahati,26.14,91.73,2011,2,0.461
Guwahati,26.14,91.73,2011,3,1.565
Guwahati,26.14,91.73,2011,4,1.516
Guwahati,26.14,91.73,2011,5,5.927
Guwahati,26.14,91.73,2011,6,14.381
Guwahati,26.14,91.73,2011,7,8.2
Guwahati,26.14,91.73,2011,8,14.334
Guwahati,26.14,91.73,2011,9,8.488
Guwahati,26.14,91.73,2011,10,0.292
Guwahati,26.14,91.73,2011,11,0.352
Guwahati,26.14,91.73,2011,12,0.023
Guwahati,26.14,91.73,2012,1,0.466
Guwahati,26.14,91.73,2012,2,0.302
Guwahati,26.14,91.73,2012,3,0.612
Guwahati,26.14,91.73,2012,4,8.368
Guwahati,26.14,91.73,2012,5,6.62
Guwahati,26.14,91.73,2012,6,20.722
Guwahati,26.14,91.73,2012,7,14.209
Guwahati,26.14,91.73,2012,8,7.539
Guwahati,26.14,91.73,2012,9,5.52
Guwahati,26.14,91.73,2012,10,3.666
Guwahati,26.14,91.73,2012,11,0.339
Guwahati,26.14,91.73,2012,12,0.606
Guwahati,26.14,91.73,2013,1,0.0
Guwahati,26.14,91.73,2013,2,0.363
Guwahati,26.14,91.73,2013,3,0.669
Guwahati,26.14,91.73,2013,4,4.014
Guwahati,26.14,91.73,2013,5,15.906
Guwahati,26.14,91.73,2013,6,10.067
Guwahati,26.14,91.73,2013,7,10.499
Guwahati,26.14,91.73,2013,8,6.398
