event_id,lat,lon,year,month,rainfall,rainfall_unit,rainfall_city,elevation,slope,terrain_distance_km,event_observed,sample_type
,23.79157,96.748084,2007,8,3.464,mm/day monthly mean,Imphal,166.0,0.952,26.578,0,background_no_record
,22.436829,88.37709,2009,8,11.286,mm/day monthly mean,Agartala,6.0,0.025,43.657,0,background_no_record
,27.799458,92.991444,2016,6,10.478,mm/day monthly mean,Itanagar,810.0,6.093,26.195,0,background_no_record
,26.563341,90.381556,2012,9,5.52,mm/day monthly mean,Guwahati,54.0,1.148,46.192,0,background_no_record
,22.392803,91.345044,2010,7,5.509,mm/day monthly mean,Agartala,3.0,0.243,43.398,0,background_no_record
714.0,27.163,94.0,2008,8,14.201,mm/day monthly mean,Itanagar,81.0,3.361,24.24,1,catalogued_landslide
,24.951346,93.760125,2014,6,10.715,mm/day monthly mean,Imphal,1000.0,1.887,28.728,0,background_no_record
,27.935135,92.827223,2015,8,16.256,mm/day monthly mean,Itanagar,3706.0,4.22,32.264,0,background_no_record
4906.0,26.0977,94.7499,2013,6,5.243,mm/day monthly mean,Kohima,2265.0,3.183,35.673,1,catalogued_landslide
7933.0,26.1868,91.6739,2015,9,9.843,mm/day monthly mean,Guwahati,51.0,1.609,36.063,1,catalogued_landslide
,28.98902,91.87904,2013,8,12.931,mm/day monthly mean,Itanagar,5262.0,2.268,24.092,0,background_no_record
,25.06925,91.310212,2009,8,15.893,mm/day monthly mean,Shillong,7.0,1.28,31.335,0,background_no_record
,27.379145,89.524046,2010,6,5.242,mm/day monthly mean,Gangtok,2439.0,5.807,51.258,0,background_no_record
,28.620156,93.438305,2013,5,9.615,mm/day monthly mean,Itanagar,4375.0,4.276,47.192,0,background_no_record
,26.945716,91.436305,2015,8,12.859,mm/day monthly mean,Guwahati,842.0,3.285,43.248,0,background_no_record
,28.212558,97.403217,2015,9,7.727,mm/day monthly mean,Itanagar,2410.0,3.269,39.661,0,background_no_record
5485.0,27.6047,88.6463,2013,9,3.464,mm/day monthly mean,Gangtok,3787.0,4.841,35.152,1,catalogued_landslide
8237.0,27.0136,92.6351,2016,7,16.745,mm/day monthly mean,Itanagar,190.0,4.235,36.955,1,catalogued_landslide
6214.0,25.9702,91.8587,2014,10,1.916,mm/day monthly mean,Guwahati,885.0,1.28,32.304,1,catalogued_landslide
,27.306157,93.169378,2015,8,16.256,mm/day monthly mean,Itanagar,810.0,6.093,33.188,0,background_no_record
,27.835795,95.338241,2013,8,12.931,mm/day monthly mean,Itanagar,105.0,3.605,44.97,0,background_no_record
1963.0,26.944,88.4441,2010,6,5.242,mm/day monthly mean,Gangtok,1651.0,4.124,44.021,1,catalogued_landslide
,26.221563,95.994353,2014,10,1.16,mm/day monthly mean,Kohima,289.0,3.104,11.738,0,background_no_record
5273.0,26.1807,94.5497,2013,8,8.951,mm/day monthly mean,Kohima,2265.0,3.183,47.762,1,catalogued_landslide
,25.233768,87.938038,2009,8,7.782,mm/day monthly mean,Gangtok,23.0,0.022,17.056,0,background_no_record
,26.261703,91.423691,2011,5,5.927,mm/day monthly mean,Guwahati,49.0,1.612,42.857,0,background_no_record
,25.131175,89.978396,2016,7,15.384,mm/day monthly mean,Agartala,18.0,1.182,4.969,0,background_no_record
7373.0,24.9111,94.4759,2015,8,8.21,mm/day monthly mean,Imphal,1000.0,1.887,51.964,1,catalogued_landslide
1755.0,27.3341,88.6083,2010,4,0.59,mm/day monthly mean,Gangtok,3787.0,4.841,46.341,1,catalogued_landslide
2425.0,23.3439,93.0748,2010,9,6.911,mm/day monthly mean,Aizawl,959.0,1.325,14.224,1,catalogued_landslide
3925.0,27.4888,93.0153,2011,8,10.278,mm/day monthly mean,Itanagar,810.0,6.093,8.497,1,catalogued_landslide
148.0,22.479,92.967,2007,7,18.371,mm/day monthly mean,Aizawl,1039.0,1.472,15.823,1,catalogued_landslide
,26.20645,90.670409,2009,8,11.344,mm/day monthly mean,Guwahati,49.0,1.612,35.493,0,background_no_record
6990.0,26.0319,94.5466,2015,6,9.655,mm/day monthly mean,Kohima,2265.0,3.183,55.89,1,catalogued_landslide
,26.959964,88.897525,2013,8,8.214,mm/day monthly mean,Gangtok,465.0,5.853,10.292,0,background_no_record
,22.076473,95.919932,2010,9,6.467,mm/day monthly mean,Imphal,96.0,0.81,11.85,0,background_no_record
,27.676839,90.609615,2013,8,8.214,mm/day monthly mean,Gangtok,2760.0,5.34,40.457,0,background_no_record
9334.0,24.5204,92.7264,2016,5,13.977,mm/day monthly mean,Aizawl,249.0,1.524,28.182,1,catalogued_landslide
7666.0,25.1019,93.3729,2015,8,8.21,mm/day monthly mean,Imphal,1036.0,1.488,37.57,1,catalogued_landslide
4377.0,26.1475,91.7356,2012,6,20.722,mm/day monthly mean,Guwahati,51.0,1.609,33.073,1,catalogued_landslide
